Vorname;Nachname;Geburtsdatum;Geschlecht;Telefon-Nr.;Bundesland;Stadt;Postleitzahl;Straße;Hausnummer;Adresszusatz
Bertwald;Francke;21.06.1952;m;04342/31217420;Schleswig-Holstein;Warnau;24250;Neuhof;89;
Gottwalt;Pietsch;22.01.1993;m;;Schleswig-Holstein;Klein Offenseth-Sparrieshoop;25365;Parkweg;32;
Lars;Eisenblätter;10.07.1954;m;06782/70360535;Rheinland-Pfalz;Leisel;55767;Georg-Appel-Straße;119;
Melvin;Schork;21.01.1979;m;;Rheinland-Pfalz;Asbach;53567;Am Kurpark;150;
Götz;Niedermeier;24.05.1971;m;06333/98630732;Rheinland-Pfalz;Waldfischbach-Burgalben;67714;Hohensteiner Straße;23;
Tommy;Wilczek;16.11.1981;m;02662/99905407;Rheinland-Pfalz;Marzhausen;57627;Im Weingarten;41;
Frederik;Lichtenstein;04.12.1936;m;0212/32499525;Nordrhein-Westfalen;Solingen;42653;Triftstraße;155;
Rose;Schmutz;12.10.1989;w;;Rheinland-Pfalz;Hergenfeld;55452;Heedfelder Straße;142;
Uto;Naß;08.09.2007;m;07231/23495049;Baden-Württemberg;Pforzheim;75172;Kölner Weg;183;
Klotilde;Bertele;26.12.1921;w;05773/63847614;Nordrhein-Westfalen;Stemwede;32351;Warschauer Straße;35;
Arnold;Probst;13.02.1946;m;07525/17667144;Baden-Württemberg;Aulendorf;88326;Stormstraße;68b;
Mia;Lamparter;04.10.1927;w;04442/6963727;Niedersachsen;Lohne;49393;Rahmstraße;156;
Cordt;Haustein;17.11.1960;m;030/76543578;Berlin;Berlin;10707;Am Wulfkamp;141;
Kristian;Henneberg;11.11.1962;m;02771/60900574;Hessen;Dillenburg;35685;Schmiedgasse;197;
Reni;Söhngen;12.03.2007;w;07034/983788;Baden-Württemberg;Ehningen;71139;Habbeler Straße;83;
Rainhard;Kolar;03.08.2020;m;02626/14637414;Rheinland-Pfalz;Herschbach;56249;Am Strauk;131;
Kaspar;Bertz;26.09.1959;m;04859/44149675;Schleswig-Holstein;Gudendorf;25693;Max-Küper-Straße;174b;
Augustus;Schemel;02.04.2006;m;06572/80990367;Rheinland-Pfalz;Eisenschmitt;54533;Mariothstraße;132;
Eli;Burgdorf;19.11.1960;w;02691/29315295;Rheinland-Pfalz;Hoffeld;53534;Meerbuscher Straße;67;
Stanislaus;Schnelle;06.11.1990;d;06233/40259228;Rheinland-Pfalz;Kleinniedesheim;67259;Im Hirzberg;115;
Griseldis;Vetter;06.01.1939;w;;Rheinland-Pfalz;Gumbsheim;55597;Dinnendahlstraße;154;
Bärbel;Peifer;13.03.1997;w;08762/49416602;Bayern;Fraunberg;85447;Bagnostraße;89;
Fritzi;Weis;17.06.1997;w;03671/94125026;Thüringen;Saalfeld;7318;Ahlerweg;187;
Franzl;Stasch;19.08.1904;m;03933/3861739;Sachsen-Anhalt;Demsin;39307;Bergmannstraße;92;
Randolf;Kipp;03.12.1941;m;0451/91250195;Schleswig-Holstein;Lübeck;23554;Am Nothenberg;64;
Mariedore;Hasselmann;21.07.2022;w;06435/24155972;Rheinland-Pfalz;Steinefrenz;56414;Heinrich-Fischer-Straße;157;
Louis;Sütterlin;20.06.2000;m;;Sachsen-Anhalt;Liesten;29416;An der Floeth;85;
Wichard;Ramsauer;27.06.1986;m;04639/43226867;Schleswig-Holstein;Lindewitt;24969;Hanfgarten;188;
Annina;Irion;29.10.2020;w;06374/24546521;Rheinland-Pfalz;Schwedelbach;67685;Auerhahnweg;68;
Danny;Rosenboom;02.01.1937;m;0651/10387880;Rheinland-Pfalz;Trier;54293;Niedern;44;
Vinzenz;Zill;03.07.1902;m;06825/99878123;Saarland;Merchweiler;66589;Jung-Stilling-Straße;95;
Kristiane;Renk;15.03.2008;w;;Baden-Württemberg;Hohberg;77749;Rothenburger Straße;35;28
Constantin;Graßl;13.04.1997;m;06362/79211612;Rheinland-Pfalz;Mannweiler-Cölln;67822;Hakenfelder Straße;100;
Waltraut;Vogler;04.02.1939;w;06375/47377594;Rheinland-Pfalz;Schauerberg;66919;Keltenstraße;156;
Steven;Kobler;10.02.1964;m;05832/19371485;Niedersachsen;Dedelstorf;29386;Fasanenweg;107;
Markwart;Dubiel;06.09.1926;m;08293/58826156;Bayern;Emersacker;86494;Steinmetzstraße;11;
Dietwald;Goll;14.05.2015;m;04346/75407196;Schleswig-Holstein;Lindau;24214;Wiedstraße;94 a;
Sebald;Gründer;08.09.1967;d;02747/96183031;Rheinland-Pfalz;Rosenheim;57520;Leversum;20;
Carsta;Breitsprecher;05.01.2022;w;;Bayern;Freising;85354;Buchholzstraße;198;
Edeltrud;Obermeier;01.03.1932;w;06207/8398788;Hessen;Ober-Abtsteinach;69518;Wannenstraße;185;
Friedbert;Bryan;18.06.1951;m;05676/22460939;Hessen;Liebenau;34396;Pechriede;133;
Ali;Kimmerle;13.07.1998;m;06071/27953041;Hessen;Eppertshausen;64859;Stöckstraße;73;
Hannegret;Elster;15.12.1958;w;09244/8116372;Bayern;Plech;91287;Sophienthaler Straße;23;
Wladislaus;Jakoby;17.09.1907;m;06761/60467861;Rheinland-Pfalz;Fronhofen;55471;Fischbachstraße;181;
Berngard;Brünger;25.10.1973;w;;Schleswig-Holstein;Bargum;25842;Am See;117;
Lya;Heidmann;07.08.1960;w;02666/19243552;Rheinland-Pfalz;Arnshöfen;56244;Rosentalstraße;100;
Degenhart;Pagels;21.10.1973;m;07132/94367214;Baden-Württemberg;Erlenbach;74235;Asenbach;109;
Emmeram;Linden;22.04.1994;m;04745/24120678;Niedersachsen;Köhlen;27624;Sandforter Weg;34;
Huberta;Häußer;05.02.1944;w;0721/14314613;Baden-Württemberg;Karlsruhe;76149;Am Bahndamm;2 c;
Angelika;Kröger;01.03.1986;w;04554/42364470;Schleswig-Holstein;Wahlstedt;23812;Am Ring;8;
Carlheinz;List;26.06.1905;m;04954/49602089;Niedersachsen;Moormerland;26802;Hermann-Kätelhön-Straße;41;
Timm;Wenderoth;23.08.1916;m;02366/46096270;Nordrhein-Westfalen;Herten;45701;Ostpromenade;20;
Annebärbel;Krapp;31.08.1917;w;02685/89998206;Rheinland-Pfalz;Peterslahr;57632;In der Warthe;78;
Marah;Frings;28.02.1929;w;089/39582497;Bayern;München;80686;Grazer Straße;36;
Ilrich;Wilkerson;19.12.1904;m;07443/28816889;Baden-Württemberg;Waldachtal;72178;Kiefholzstraße;133;
Henning;Holland;06.01.2012;m;030/52310209;Berlin;Lichtenberg;13055;Neue Mühle;61;
Leopold;Schütt;07.12.1902;m;05932/50271864;Niedersachsen;Haren;49733;An der Bergshecke;3;
Evamaria;Kilian;24.06.1912;w;05939/58710400;Niedersachsen;Sustrum;49762;Breisacher Straße;111;
Roselore;Reus;28.08.1998;d;;Niedersachsen;Hildesheim;31141;Willmenroder Straße;90c;
Wieghart;Jordan;12.03.1920;m;03606/90171721;Thüringen;Wingerode;37327;Bünkamp;166;
Ortwin;Benndorf;09.04.1981;m;07343/726482;Bayern;Oberroth;89294;Im Laime;65;
Nelli;Wallmann;06.08.1978;w;030/82644823;Berlin;Wedding;13407;Hunselweg;120;
Chiara;Strahl;14.01.1933;w;05201/46500617;Nordrhein-Westfalen;Halle;33790;Unterste Bitze;83;
Berni;Ehrlich;25.01.1995;m;0521/12812420;Nordrhein-Westfalen;Bielefeld;33615;Pötterhoek;24;
Eileen;Edler;27.06.1929;w;04851/82384002;Schleswig-Holstein;Volsemenhusen;25693;In der Lache;75;
Hansgünther;Haustein;18.08.1908;d;;Rheinland-Pfalz;Ludwigshafen am Rhein;67059;Heiligen Weg;54;
Ilsa;Thalhammer;17.03.1986;w;;Rheinland-Pfalz;Wolsfeld;54636;Schwanenstraße;186;
Ferdinande;Mustafa;16.10.1933;w;07161/14455530;Baden-Württemberg;Rechberghausen;73098;Auf dem Hostert;14;
Stephan;Welz;22.08.2011;m;04609/37702095;Schleswig-Holstein;Sollerup;24852;Hemfeld;34;
Theophilus;Düsterhöft;26.11.1946;m;07161/9563731;Baden-Württemberg;Schlat;73114;Auf dem Schoppen;180;
Godo;Ludolph;22.02.1965;d;0721/67478072;Baden-Württemberg;Karlsruhe;76149;Johann-August-Ring;179;
Pauline;Lämmle;24.04.2010;w;0209/30706966;Nordrhein-Westfalen;Gelsenkirchen;45899;Oberste Ströthe;145;
Adi;Pollak;04.06.2001;m;;Hessen;Calden;34379;Langenberger Straße;104;
Elfriede;Exner;15.06.1902;w;;Sachsen-Anhalt;Tylsen;29413;Goldgasse;140 c;61
Framhild;Würfel;11.03.1926;w;;Rheinland-Pfalz;Heistenbach;65558;Eichwaldstraße;64;
Ambros;Fitz;27.12.1936;m;;Rheinland-Pfalz;Roth;55442;Schleusenweg;9;
Gerlach;Stahn;08.11.2009;m;09641/17474216;Bayern;Grafenwöhr;92655;Ostpreußenstraße;95;
Ulwin;Schrodt;05.07.1931;m;05841/58591109;Niedersachsen;Woltersdorf;29497;Mergelkamp;20;
Fynn;Hughes;04.08.1930;m;040/57160306;Hamburg;Hamburg;20359;In den Birken;14;
Siegbert;Emig;29.07.1973;m;04550/14552296;Schleswig-Holstein;Neuengörs;23818;Windausstraße;87;
Annerike;Ehler;07.10.1926;w;06747/81661003;Rheinland-Pfalz;Thörlingen;56291;In der Steubach;178;33
Dario;Eckstein;30.09.1916;m;069/29347662;Hessen;Offenbach am Main;63075;Am Hofgarten;114;
Maria;Böger;16.05.1995;w;0721/73731609;Baden-Württemberg;Eggenstein-Leopoldshafen;76344;Bergwiese;59;
Conrad;Kerner;26.09.2019;d;07162/23637390;Baden-Württemberg;Süßen;73079;Paulushof;144;
Bartold;Krawczyk;27.12.1996;m;;Niedersachsen;Faßberg;29328;Stübecker Weg;90;
Emmerich;Eichstädt;12.03.1951;m;07191/76264820;Baden-Württemberg;Auenwald;71549;Ochsenkamp;32;
Fridoline;Schwichtenberg;25.09.1958;w;07365/71250573;Baden-Württemberg;Essingen;73457;Klinkkampweg;193;
Ingetraut;Bülow;21.12.1911;w;0203/42170695;Nordrhein-Westfalen;Duisburg;47169;August-Rudloff-Straße;180;
Annehild;Diegel;13.06.1922;w;03944/38703954;Sachsen-Anhalt;Heimburg;38889;Arnheimweg;171;
Gerda;Wiegert;20.09.1963;w;02158/86473187;Nordrhein-Westfalen;Grefrath;47929;Vluyner Nordring;55;125
Scholastika;Götting;16.09.1925;w;05741/37537518;Nordrhein-Westfalen;Lübbecke;32312;Im Wohnpark Nette;30;
Adelina;Bethke;04.09.1912;w;04125/45743299;Schleswig-Holstein;Seestermühe;25371;Richtweg;176;
Gotelind;Ecker;23.11.1997;w;06561/27806532;Rheinland-Pfalz;Niederstedem;54634;Würdinghauser Straße;184;
Brünhild;Ramin;11.07.1973;w;04155/41773899;Schleswig-Holstein;Fitzen;21514;Reichweindamm;38;
Berna;Atkins;17.12.1999;w;08821/37952603;Bayern;Garmisch-Partenkirchen;82467;Katharina-Kasper-Straße;172;
Ansbert;Irion;22.09.1936;m;02465/10142988;Nordrhein-Westfalen;Inden;52459;Zum Mückenplatz;94;
Hertha;Flock;05.10.2006;w;07343/89411640;Bayern;Unterroth;89299;Mühlenaustraße;18a;
Marika;Wenzlaff;22.08.1928;w;;Niedersachsen;Filsum;26849;Heidmühlenweg;93;
Waldemar;Hertwig;30.04.1940;d;04835/92563854;Schleswig-Holstein;Osterrade;25767;Kermeterstraße;114a;
Irma;Hackenberg;19.07.2020;w;07159/31878459;Baden-Württemberg;Renningen;71272;Hirschgraben;24c;
Hasso;Kroiß;01.03.1987;m;0911/44464298;Bayern;Nürnberg;90431;Dresdener Ring;47;
Jannes;Kutsche;31.03.1936;m;05142/48347702;Niedersachsen;Eschede;29348;Bergweg;79;
Hansl;Söll;25.10.1993;m;08272/27987445;Bayern;Wertingen;86637;Dauvemühle;14;
Evelin;Felder;11.04.1993;w;03466/51432551;Thüringen;Heygendorf;6556;Im Borngrund;138;
Michael;Schlautmann;08.01.1978;m;06071/73823125;Hessen;Münster;64839;Horstmarer Straße;76;
Volkbert;Harig;05.12.1957;m;;Hessen;Baunatal;34225;Solzower Straße;167;
Otti;Renneberg;10.11.1919;w;09373/74688447;Bayern;Amorbach;63916;Schelver Diek;122;
Rosegret;Werder;03.05.2007;w;06505/26548450;Rheinland-Pfalz;Newel;54309;Brementhaler Straße;47;
Frowin;Rötzer;25.11.1994;m;04541/33315990;Schleswig-Holstein;Einhaus;23911;Am Birkenwäldchen;35;
Landolf;Görres;20.12.1984;m;05271/33884439;Niedersachsen;Derental;37691;Bachstraße;106;
Botho;Waller;28.11.1903;m;07340/15112886;Baden-Württemberg;Breitingen;89183;Leingen;73;
Annett;Gahr;19.12.2004;d;0541/19310419;Niedersachsen;Osnabrück;49088;Kaiser-Heinrich-Straße;79;
Cordula;Jünger;01.01.1949;d;05532/65039979;Niedersachsen;Wangelnstedt;37627;Alt-Seiferweg;96;
Eduardt;Klemp;16.05.2003;m;0261/65328698;Rheinland-Pfalz;Urbar;56182;Fichtestraße;31;
Ottomar;Gall;07.10.1943;m;07249/24360266;Baden-Württemberg;Stutensee;76297;Dierath;51;
Burkhild;Schöttler;07.11.1973;w;;Rheinland-Pfalz;Ersfeld;57635;Nordhausstraße;77;
Marco;Georgi;27.02.2007;m;05624/72716348;Hessen;Bad Emstal;34308;Barbaraweg;59;
Siegbert;Pausch;15.01.1917;d;06055/69861038;Hessen;Freigericht;63579;Gotenstraße;136;
Ingolf;Zender;05.11.1976;m;;Rheinland-Pfalz;Osterspai;56340;Alter Postweg;149 a;
Patrizia;Vester;09.11.1958;w;;Bayern;Neukirchen;92259;Auf Knopspesch;188;
Gertraud;Kara;01.06.1966;w;06187/74887852;Hessen;Nidderau;61130;Eiserfelder Straße;4;
Jolanthe;Hörster;30.03.2016;w;05231/63167308;Nordrhein-Westfalen;Detmold;32756;Im Viertel;115;
Ilsegret;Salamon;06.03.1999;w;;Schleswig-Holstein;Norderstedt;22846;Försterstraße;139;
Reinbert;Fabig;10.09.1935;m;02664/48870842;Rheinland-Pfalz;Neustadt;56479;Räuberspesch;67;
Jannis;Wüstner;20.12.1919;m;07133/10313654;Baden-Württemberg;Neckarwestheim;74382;Auf dem Hinterberg;84;
Anneli;Klink;15.05.1942;w;06262/42497326;Baden-Württemberg;Schwarzach;74869;Friedrichsgaber Weg;177;
Hubertus;Christian;19.01.1907;m;;Rheinland-Pfalz;Homberg;56479;Lingsforter Straße;130 c;
Margarethe;Stahnke;31.01.1906;w;08845/5367654;Bayern;Bad Bayersoien;82435;Zum Rödchen;198;
Delia;Straube;07.06.1903;w;;Baden-Württemberg;Walheim;74399;Raubacher Straße;60;
Erdmute;Brackmann;03.03.1907;w;03722/9516814;Sachsen;Niederfrohna;9243;An der Heisterer Ley;59a;
Bertolt;Gross;14.07.1980;d;08635/58789864;Bayern;Niedertaufkirchen;84494;Posener Straße;31;
Fabio;Gabor;29.01.1921;m;02604/65004215;Rheinland-Pfalz;Lollschied;56357;Elzerstraße;56;
Erdheide;Kaczmarczyk;22.04.1966;w;04936/26704027;Niedersachsen;Großheide;26532;Lindener Straße;30;
Margreth;Detzel;21.12.2021;w;;Bayern;Markt Wald;86865;Walther-Rathenau-Straße;138;182
Hannsgeorg;Steuermann;22.09.1948;m;07232/73713802;Baden-Württemberg;Königsbach-Stein;75203;Waldfrieden;188;
Matti;Delgado;30.07.1969;m;05944/38012003;Niedersachsen;Hoogstede;49846;Siedlung;80;
Sibilla;Hofrichter;02.03.1926;w;02671/92341987;Rheinland-Pfalz;Bremm;56814;Braunsberger Straße;184;
Liam;Khan;13.02.1909;m;08725/68173661;Bayern;Mitterskirchen;84335;Manfred-von-Richthofen-Straße;123;
Felicitas;Ehnert;07.07.1969;w;;Niedersachsen;Baddeckenstedt;38271;Zonser Straße;156;
Valentina;Edwards;01.07.1914;d;06592/69773676;Rheinland-Pfalz;Brockscheid;54552;Niederhonnefelder Straße;122;
Carolin;Wanders;30.03.1951;w;08677/24629923;Bayern;Mehring;84561;Thingslindestraße;74;
Annkathrin;Schwenzer;01.06.1934;w;0711/75427829;Baden-Württemberg;Stuttgart;70192;Auf dem Heidchen;98;
Reinhildis;Tebbe;14.06.1937;w;05225/15805517;Nordrhein-Westfalen;Spenge;32139;Kreuzherrenstraße;15;
Wennemar;Kramp;24.05.2016;m;07851/69423005;Baden-Württemberg;Kehl;77694;Graflinger Straße;39;
Gustav;Orth;31.08.1989;m;06761/57436523;Rheinland-Pfalz;Bubach;56288;Pestalozziring;47;
Luzia;Rother;12.06.1915;w;02623/81941669;Rheinland-Pfalz;Wittgert;56237;Kreuzherrenstraße;133;
Almute;Sandra;08.12.1976;w;;Bayern;Markt Schwaben;85570;Hallesche Straße;56;126
Thankmar;Rust;24.01.1904;m;06275/95717228;Hessen;Rothenberg;64757;Am Nothbach;84;
Frank;Siegfried;12.10.1925;d;08145/54450029;Bayern;Oberschweinbach;82294;Im Haubenfeld;168;
Sylvio;Liebe;26.05.1969;m;;Bayern;Egglham;84385;Im Weidenbruch;39;
Klemens;Schimmel;08.06.1960;m;02131/36639846;Nordrhein-Westfalen;Uedesheim;41468;Flurstraße;144;
Lysann;Rühlemann;11.07.1910;w;0201/93796331;Nordrhein-Westfalen;Essen;45139;Umstraße;198;
Leongard;Figueroa;29.11.1956;w;05977/98254037;Niedersachsen;Spelle;48480;Im Rosenacker;95;
Christhelm;Bielefeld;27.03.1923;m;02685/63669959;Rheinland-Pfalz;Orfgen;57632;Alte Schule;184a;
Jolande;Hübscher;06.06.1977;w;06432/89489364;Rheinland-Pfalz;Altendiez;65624;Nettetalstraße;94;
Dora;Kümpel;04.02.2000;w;06564/35594870;Rheinland-Pfalz;Obergeckler;54675;Zimmerstraße;191;
Meinrad;Bente;24.05.1926;m;08144/43976604;Bayern;Kottgeisering;82288;Kuhlenkamp;198;
Dietburg;Berge;25.03.1978;w;;Rheinland-Pfalz;Busenhausen;57612;Gewerbegebiet Gässle;31;11
Till;Puhlmann;20.09.2018;m;;Mecklenburg-Vorpommern;Hinrichshagen;17498;Untertorstraße;24;
Marliese;Hill;24.03.1907;w;06563/95520186;Rheinland-Pfalz;Kyllburgweiler;54655;Weiner;61;
Stephanus;Hauptmann;23.09.1952;m;06303/66917007;Rheinland-Pfalz;Mehlingen;67678;Gocher Landstraße;185;
Marietheres;Wende;03.12.1945;w;05443/64742157;Niedersachsen;Brockum;49448;Am Brasberg;186;
Jolande;Seidensticker;05.03.1994;w;02664/80236743;Rheinland-Pfalz;Waldmühlen;56479;Pickbreite;174;
Elli;Rödl;12.05.1994;w;04121/87295770;Schleswig-Holstein;Klein Nordende;25336;Narzissenstraße;59;
Victoria;Schock;18.06.2001;w;07841/51903734;Baden-Württemberg;Lauf;77886;Ulmenallee;2;
Heidemaria;Zens;06.03.1999;w;03901/96500242;Sachsen-Anhalt;Liesten;29416;Rheintal;85;
Anita;Ellinger;23.02.1978;w;04872/25294539;Schleswig-Holstein;Oldenbüttel;25557;Grenzstraße;57;
Dietolf;Wroblewski;06.05.1977;m;07974/28475969;Baden-Württemberg;Bühlerzell;74426;Ostbahnhofstraße;129;
Friedrich;Nill;20.09.2014;m;05931/90475678;Niedersachsen;Meppen;49716;Marienburger Straße;25;
Martina;Klauß;09.09.1956;w;07581/50054808;Baden-Württemberg;Bad Saulgau;88348;Glück-Auf-Straße;187;
Helgert;Gartmann;16.03.1970;m;08236/80156888;Bayern;Ustersbach;86514;Jakob-Schneider-Straße;116 c;
Falko;Eickhoff;27.03.2021;m;09424/84512443;Bayern;Irlbach an der Donau;94342;Suestrastraße;191;
Theobalda;Osthoff;07.04.1944;d;06833/72203592;Saarland;Rehlingen-Siersburg;66780;Moorbekweg;101;194
Jacqueline;Runkel;03.04.1966;w;02336/27355439;Nordrhein-Westfalen;Schwelm;58332;Roelpad;192;
Rabea;Grimminger;19.02.1978;w;07673/68762386;Baden-Württemberg;Böllen;79677;Wickeder Straße;42;
Friedhart;Hönicke;21.05.2012;m;04976/42482182;Niedersachsen;Spiekeroog;26474;Knotenstraße;114;
Claudia;Tränkle;20.07.1978;w;02663/43452648;Rheinland-Pfalz;Girkenroth;56459;Oulustraße;85;
Ehrenfried;Brutscher;28.09.1902;m;02664/45751504;Rheinland-Pfalz;Oberroßbach;56479;Münsterlandstraße;47;
Leon;Bohm;23.09.1905;d;04155/78623753;Schleswig-Holstein;Basedow;21483;Schimmelbuschstraße;157;
Ilsegret;Schroers;21.09.1904;w;07387/2257946;Baden-Württemberg;Hohenstein;72531;Lützowstraße;197;
Irlanda;Eisen;26.03.1939;w;09901/64194653;Bayern;Hengersberg;94491;Am Steinbruch;176;
Gernod;Bölter;29.03.1916;m;06787/26120597;Rheinland-Pfalz;Niederbrombach;55767;Rosenacker;154;
Richarda;Carter;31.10.1920;w;04824/50629541;Schleswig-Holstein;Dägeling;25578;Wittener Straße;182;
Maren;Walkenhorst;16.03.1990;d;06351/47995827;Rheinland-Pfalz;Weitersweiler;67808;Pastor-Sanders-Weg;91;
Wendel;Schrott;13.01.1979;m;02451/96179601;Nordrhein-Westfalen;Übach-Palenberg;52531;Felmicke;50;
Jeremy;Rößner;04.10.1930;m;06542/23454723;Rheinland-Pfalz;Schauren;56865;Hölkenbusch;112;
Dietgar;Trunk;19.04.1918;m;02651/87608297;Rheinland-Pfalz;Bermel;56729;Wickeder Straße;146;
Meta;Paetsch;22.03.1968;d;0711/67561192;Baden-Württemberg;Stuttgart;70435;Uessbachstraße;49;
Cyrill;Nohl;19.05.1979;m;07762/90549510;Baden-Württemberg;Wehr;79664;Lange Stiege;145;
Waltrud;Enger;28.04.1936;w;04109/23808954;Schleswig-Holstein;Tangstedt;22889;Wasserburg;175;
Dittmar;Gödde;13.05.1964;d;04843/57593041;Schleswig-Holstein;Immenstedt;25885;Am Alten Bahnhof;140;
Werngard;Sandmann;18.05.1979;w;0521/95685557;Nordrhein-Westfalen;Bielefeld;33602;Rhönweg;114;
Isabell;Ecke;09.03.1931;d;06764/75122768;Rheinland-Pfalz;Ellern;55497;Auf dem Brink;5;
Dieter;Bade;26.10.1985;m;;Rheinland-Pfalz;Bermersheim;67593;Schürholz;21;
Heribert;Gratz;09.01.1956;m;02771/39293323;Hessen;Dillenburg;35688;Junkerstück;148;
Reinmar;Diers;07.04.1966;m;06381/84218339;Rheinland-Pfalz;Niederalben;66887;Am Wimberg;9;
Jürgen;Schleyer;15.07.1941;m;02661/92491507;Rheinland-Pfalz;Nister-Möhrendorf;56477;Wilkenberg;173;
Kaspar;Reiher;14.06.1973;m;04862/56308930;Schleswig-Holstein;Tetenbüll;25882;Am Steg;118;
Diethild;Hölscher;01.08.2002;w;07275/92805084;Rheinland-Pfalz;Hatzenbühl;76770;Am Vorstgraben;32;
Annakatrin;Grieche;21.08.1933;w;02604/8822939;Rheinland-Pfalz;Lollschied;56357;Wendelinusstraße;129;
Leandra;Vöge;05.02.1966;w;05941/54985057;Niedersachsen;Lage;49828;Flurstraße;163;
Aaron;Bersch;24.06.2016;m;;Bayern;Nürnberg;90431;Bachaue;34;
Wolff;Brech;03.07.1947;m;;Nordrhein-Westfalen;Gelsenkirchen;45892;Matthias-Claudius-Straße;62;
Kyra;Dettmann;22.03.1935;w;08677/98536093;Bayern;Mehring;84561;Funkenhausen;63;
Runhild;Priv.;24.05.2010;w;04191/2708597;Schleswig-Holstein;Nützen;24568;Moselufer;134;
Joana;Unkelbach;01.12.2016;w;;Rheinland-Pfalz;Ruppertshofen;56357;Altenahrer Straße;97;
Jannick;Haußmann;18.09.1963;d;04324/79537966;Schleswig-Holstein;Arpsdorf;24634;Starkenburger Straße;132;
Siegwald;Wanderer;26.01.1991;m;06051/37410685;Hessen;Linsengericht;63589;Schönbacher Weg;101;
Wendelinus;Heyen;14.10.1962;m;;Schleswig-Holstein;Wrist;25563;Zum Esch;159b;
Matteo;Hesse;26.04.1997;m;05373/86665862;Niedersachsen;Hillerse;38543;Wällertorstraße;55;
Diemo;Meis;26.05.1917;m;;Schleswig-Holstein;Süderdeich;25764;Lilienthalstraße;4;
Adolf;Butsch;08.09.1918;m;06593/55798573;Rheinland-Pfalz;Berndorf;54578;Bernhard-Poether-Straße;163;
Adelhard;Sündermann;05.12.2022;m;09777/92157318;Bayern;Willmars;97647;Ellbachstraße;193;
Agathe;Krenz;28.02.1935;w;0441/9693493;Niedersachsen;Oldenburg;26131;Solzower Straße;189;
Ottkar;Prien;12.06.1938;m;;Schleswig-Holstein;Schrum;25782;Bodener Straße;81;63
Gunhild;Aust;06.03.1928;w;04541/58722390;Schleswig-Holstein;Mustin;23911;Ringweg;161;
Ruprecht;Mattern;22.10.1909;d;06353/17339468;Rheinland-Pfalz;Bobenheim am Berg;67273;Klosterfeld;121;
Erla;Kistler;26.02.2021;w;0711/92494154;Baden-Württemberg;Fellbach;70734;Neuenhof;49;
Detlev;Gaßmann;01.06.1924;m;02323/46144017;Nordrhein-Westfalen;Herne;44628;Glärbach;53;
Hildrun;Behle;16.03.1980;w;;Baden-Württemberg;Ellhofen;74248;Balberger Straße;162;
Utho;Thomann;26.12.2006;m;04108/23399393;Niedersachsen;Rosengarten;21224;Nisterstraße;26;
Ilsa;Tyler;24.05.1947;w;08143/41697873;Bayern;Inning am Ammersee;82266;Amalienstraße;6 c;
Niels;Sonnleitner;17.10.1984;m;05246/30000845;Nordrhein-Westfalen;Verl;33415;Elbener Straße;26;
Dorina;Geipel;18.11.1935;w;04342/77445110;Schleswig-Holstein;Preetz;24211;Brassertstraße;105;
Anfriede;Miethe;13.04.1915;w;06134/24546107;Hessen;Mainz-Kostheim;55246;In der Eichwies;117;
Wieland;Romeike;04.10.1968;m;03902/26916923;Sachsen-Anhalt;Neuekrug;29413;Jagdfeld;141;
Ilsegret;Schell;15.12.1985;w;06782/88349138;Rheinland-Pfalz;Abentheuer;55767;Pröbstingstraße;140;122
Arwid;Böger;13.01.1985;m;07622/5563364;Baden-Württemberg;Schopfheim;79650;Am Kaltberg;86;
Larissa;Siller;30.12.1912;w;09401/74602038;Bayern;Neutraubling;93073;Mersch;138;
Emil;Kiesewetter;19.07.2014;m;06747/99100571;Rheinland-Pfalz;Mühlpfad;56291;Hohlbachweg;76;
Achim;Biehl;03.03.1958;m;07424/92367066;Baden-Württemberg;Rietheim-Weilheim;78604;Ostpreußenstraße;140;
Amalie;Schweikert;05.02.1979;w;08543/53155097;Bayern;Aidenbach;94501;Waitzstraße;16;
Milli;Kelle;20.02.1922;w;02562/89363788;Nordrhein-Westfalen;Gronau;48599;Adenrother Weg;192;
Eberhard;Geiß;14.04.1997;m;07042/18583120;Baden-Württemberg;Hochdorf an der Enz;71735;Weiner;7;
Meinhart;Brühl;09.10.1992;m;0461/10615470;Schleswig-Holstein;Flensburg;24937;Valterweg;181;
Susanna;Eitner;07.03.1972;w;02762/4521477;Nordrhein-Westfalen;Wenden;57482;Hildastraße;75;
Christhard;Lichte;10.06.1983;m;02664/4894447;Rheinland-Pfalz;Hüblingen;56479;Löhrstraße;151;
Adi;Berberich;25.03.2018;m;06550/26790141;Rheinland-Pfalz;Roscheid;54619;Bahnhofsplatz;83;
Ferhart;Sommerfeldt;28.01.1972;m;06541/19259903;Rheinland-Pfalz;Reil;56861;Tiroler Straße;65;
Melissa;Eberlein;17.04.2023;w;06185/97587264;Hessen;Hammersbach;63546;Flothmersch;145;
Magdalena;Frühauf;30.12.1986;w;04547/91474189;Schleswig-Holstein;Salem;23911;Breul;133;
Riana;Feix;18.06.1952;w;;Rheinland-Pfalz;Flörsheim-Dalsheim;67592;Oberm Garten;150;
Engelbrecht;Zörner;25.08.1994;m;08257/30280910;Bayern;Inchenhofen;86570;Zur Holzbachschlucht;128;
